episode,decision,simulation_time,state,action,next_state,old_waiting_time,new_waiting_time,old_queue,new_queue,throughput_during_transition,throughput_rate,normalized_wait,normalized_queue,normalized_throughput,wait_contribution,queue_contribution,throughput_contribution,starvation_penalty,reward,q_value_before,q_value_after,epsilon,transition_duration
3,16,1092.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,42.14,16.29,7,7,10,0.2174,0.1629,0.35,0.0217,-0.0814,-0.07,0.0065,0.0,-0.1449,-0.1219,-0.1301,0.99,46
3,17,1158.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,16.29,26.86,7,7,14,0.2121,0.2686,0.35,0.0212,-0.1343,-0.07,0.0064,0.0,-0.1979,-0.1751,-0.1864,0.99,66
3,18,1184.0,Medium*Medium*NoStarvation,10,Low*Medium*NoStarvation,26.86,8.57,7,7,4,0.1538,0.0857,0.35,0.0154,-0.0429,-0.07,0.0046,0.0,-0.1082,-0.1001,-0.1069,0.99,26
3,19,1280.0,Low*Medium*NoStarvation,45,Medium*Medium*NoStarvation,8.57,40.71,7,7,23,0.2396,0.4071,0.35,0.024,-0.2036,-0.07,0.0072,0.0,-0.2664,-0.2007,-0.2169,0.99,96
3,20,1376.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,40.71,41.29,7,7,23,0.2396,0.4129,0.35,0.024,-0.2064,-0.07,0.0072,0.0,-0.2692,-0.2436,-0.2558,0.99,96
3,21,1472.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,41.29,40.43,7,7,22,0.2292,0.4043,0.35,0.0229,-0.2021,-0.07,0.0069,0.0,-0.2653,-0.2558,-0.2663,0.99,96
3,22,1568.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,40.43,39.71,7,7,23,0.2396,0.3971,0.35,0.024,-0.1986,-0.07,0.0072,0.0,-0.2614,-0.2663,-0.2755,0.99,96
3,23,1614.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,39.71,17.86,7,7,10,0.2174,0.1786,0.35,0.0217,-0.0893,-0.07,0.0065,0.0,-0.1528,-0.1301,-0.1384,0.99,46
3,24,1680.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,17.86,26.71,7,7,14,0.2121,0.2671,0.35,0.0212,-0.1336,-0.07,0.0064,0.0,-0.1972,-0.1864,-0.1971,0.99,66
3,25,1726.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,26.71,16.0,7,7,10,0.2174,0.16,0.35,0.0217,-0.08,-0.07,0.0065,0.0,-0.1435,-0.1384,-0.1449,0.99,46
3,26,1822.0,Low*Medium*NoStarvation,45,Medium*Medium*NoStarvation,16.0,41.43,7,7,23,0.2396,0.4143,0.35,0.024,-0.2071,-0.07,0.0072,0.0,-0.27,-0.2169,-0.2318,0.99,96
3,27,1918.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,41.43,40.86,7,7,23,0.2396,0.4086,0.35,0.024,-0.2043,-0.07,0.0072,0.0,-0.2671,-0.2755,-0.2843,0.99,96
3,28,1964.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,40.86,16.29,7,7,10,0.2174,0.1629,0.35,0.0217,-0.0814,-0.07,0.0065,0.0,-0.1449,-0.1449,-0.1508,0.99,46
3,29,2010.0,Low*Medium*NoStarvation,20,Low*Medium*NoStarvation,16.29,16.57,7,7,10,0.2174,0.1657,0.35,0.0217,-0.0829,-0.07,0.0065,0.0,-0.1463,-0.1138,-0.123,0.99,46
