Step,Queue_West_East,Queue_North_South,Queue_SD,Throughput_Step,Avg_Waiting_Time
472,0,5,2.5,0,11.86
473,0,5,2.5,1,11.0
474,0,5,2.5,0,13.29
475,0,5,2.5,1,12.25
476,0,5,2.5,1,14.71
477,0,5,2.5,0,15.43
478,0,5,2.5,0,16.14
479,0,5,2.5,0,16.86
480,0,5,2.5,1,17.57
481,0,5,2.5,0,16.0
482,0,5,2.5,1,19.0
483,0,5,2.5,1,17.25
484,0,5,2.5,0,20.43
485,0,5,2.5,1,18.5
486,0,5,2.5,0,21.86
487,0,5,2.5,0,22.57
488,0,5,2.5,1,23.29
489,0,5,2.5,0,24.0
490,0,5,2.5,1,24.71
491,0,5,2.5,1,25.43
492,0,5,2.5,0,26.14
493,0,5,2.5,1,26.86
494,0,5,2.5,0,27.57
495,0,5,2.5,1,24.75
496,0,4,2.0,0,19.88
497,1,3,1.0,1,15.12
498,1,2,0.5,0,9.22
499,2,1,0.5,1,5.62
500,2,0,1.0,0,0.67
501,2,0,1.0,0,0.89
502,3,0,1.5,1,1.38
503,3,0,1.5,0,1.56
504,3,0,1.5,1,1.89
505,4,0,2.0,0,2.33
506,5,0,2.5,1,2.89
507,6,0,3.0,0,3.56
508,7,0,3.5,1,4.33
509,7,0,3.5,0,5.11
510,7,0,3.5,0,5.89
511,7,0,3.5,1,6.67
512,7,0,3.5,1,7.44
513,7,0,3.5,0,8.22
514,7,0,3.5,1,9.0
515,7,0,3.5,0,11.0
516,7,0,3.5,1,10.56
517,7,0,3.5,0,12.75
518,7,0,3.5,1,12.11
519,7,0,3.5,1,14.5
520,7,0,3.5,0,13.67
521,7,0,3.5,1,16.25
522,7,0,3.5,0,15.22
523,7,0,3.5,1,18.0
524,7,0,3.5,0,16.78
525,7,0,3.5,1,19.75
526,7,0,3.5,0,18.33
527,7,0,3.5,0,21.5
528,7,0,3.5,1,19.89
529,7,0,3.5,0,23.25
530,7,0,3.5,1,21.44
531,7,0,3.5,1,25.0
532,7,0,3.5,0,23.0
533,7,0,3.5,1,26.75
534,7,0,3.5,0,24.56
535,7,0,3.5,1,28.5
536,7,0,3.5,0,26.11
537,7,0,3.5,1,26.89
538,7,0,3.5,0,27.67
539,7,0,3.5,1,25.6
540,7,0,3.5,0,26.3
541,6,0,3.0,0,22.5
542,5,1,2.0,1,18.8
543,4,1,1.5,0,13.82
544,3,2,0.5,0,11.8
545,2,3,0.5,0,8.4
546,1,4,1.5,0,5.56
547,0,5,2.5,0,1.78
548,0,5,2.5,0,2.62
549,0,5,2.5,1,3.25
550,0,5,2.5,0,3.88
551,0,5,2.5,1,4.5
552,0,5,2.5,1,5.12
553,0,5,2.5,0,6.57
554,0,5,2.5,1,7.29
555,0,5,2.5,0,8.0
556,0,5,2.5,1,8.71
557,0,5,2.5,0,9.43
558,0,5,2.5,1,10.14
559,0,5,2.5,0,10.86
560,0,5,2.5,1,10.12
561,0,5,2.5,0,12.29
562,0,5,2.5,1,13.0
563,0,5,2.5,0,13.71
564,0,5,2.5,1,14.43
565,0,5,2.5,0,15.14
566,0,5,2.5,0,13.88
567,0,5,2.5,1,16.57
568,0,5,2.5,1,15.12
569,0,5,2.5,0,18.0
570,0,5,2.5,1,16.38
571,0,5,2.5,0,19.43
572,0,5,2.5,0,17.62
573,0,5,2.5,0,20.86
574,0,5,2.5,1,18.88
575,0,5,2.5,0,22.29
576,0,5,2.5,1,20.12
577,0,5,2.5,0,23.71
578,0,5,2.5,1,21.38
579,0,5,2.5,1,25.14
580,0,5,2.5,0,22.62
581,0,5,2.5,1,26.57
582,0,5,2.5,0,23.88
583,0,5,2.5,1,28.0
584,0,5,2.5,0,25.12
585,0,5,2.5,1,22.89
586,0,4,2.0,0,20.75
587,1,3,1.0,1,14.11
588,1,2,0.5,0,9.67
589,2,1,0.5,1,5.22
590,2,0,1.0,0,0.67
591,3,0,1.5,0,1.12
592,4,0,2.0,1,1.44
593,4,0,2.0,0,1.89
594,5,0,2.5,0,2.44
595,5,0,2.5,1,3.0
596,5,0,2.5,0,3.56
597,6,0,3.0,1,4.22
598,7,0,3.5,0,5.0
599,7,0,3.5,1,5.78
600,7,0,3.5,1,6.56
601,7,0,3.5,0,8.25
602,7,0,3.5,1,8.11
603,7,0,3.5,0,10.0
604,7,0,3.5,1,9.67
605,7,0,3.5,0,11.75
606,7,0,3.5,1,11.22
607,7,0,3.5,1,13.5
608,7,0,3.5,0,12.78
609,7,0,3.5,0,15.25
610,7,0,3.5,1,14.33
611,7,0,3.5,0,17.0
612,7,0,3.5,1,15.89
613,7,0,3.5,1,18.75
614,7,0,3.5,0,17.44
615,7,0,3.5,1,20.5
616,7,0,3.5,0,19.0
617,7,0,3.5,1,22.25
618,7,0,3.5,0,20.56
619,7,0,3.5,1,24.0
620,7,0,3.5,0,22.11
621,7,0,3.5,1,25.75
622,7,0,3.5,0,23.67
623,7,0,3.5,1,27.5
624,7,0,3.5,0,25.22
625,7,0,3.5,0,29.25
626,7,0,3.5,1,26.78
627,7,0,3.5,1,31.0
628,7,0,3.5,0,28.33
629,7,0,3.5,1,29.11
630,7,0,3.5,0,26.9
631,6,0,3.0,1,25.67
632,5,0,2.5,0,19.3
633,4,1,1.5,0,15.6
634,3,1,1.0,0,13.11
635,2,1,0.5,0,8.0
636,1,2,0.5,0,4.4
637,0,4,2.0,0,1.0
638,0,4,2.0,0,1.44
639,0,5,2.5,1,2.25
640,0,5,2.5,0,2.88
641,0,5,2.5,1,4.0
642,0,5,2.5,0,4.12
643,0,5,2.5,1,5.43
644,0,5,2.5,0,5.38
645,0,5,2.5,0,6.86
646,0,5,2.5,1,6.62
647,0,5,2.5,0,8.29
648,0,5,2.5,1,9.0
649,0,5,2.5,1,9.71
650,0,5,2.5,0,9.12
651,0,5,2.5,1,11.14
652,0,5,2.5,0,10.38
653,0,5,2.5,1,12.57
654,0,5,2.5,1,13.29
655,0,5,2.5,0,14.0
656,0,5,2.5,1,14.71
657,0,5,2.5,0,15.43
658,0,5,2.5,1,16.14
659,0,5,2.5,0,16.86
660,0,5,2.5,1,17.57
661,0,5,2.5,0,18.29
662,0,5,2.5,1,19.0
663,0,5,2.5,0,19.71
664,0,5,2.5,1,20.43
665,0,5,2.5,1,21.14
666,0,5,2.5,0,21.86
667,0,5,2.5,1,22.57
668,0,5,2.5,0,23.29
669,0,5,2.5,0,24.0
670,0,5,2.5,1,24.71
671,0,5,2.5,0,25.43
672,0,5,2.5,1,26.14
673,0,5,2.5,0,26.86
674,0,5,2.5,1,24.12
675,0,5,2.5,1,22.0
676,0,4,2.0,0,19.88
677,0,3,1.5,1,13.44
678,1,2,0.5,0,9.22
679,1,1,0.0,0,4.3
680,3,0,1.5,0,0.56
681,3,0,1.5,0,0.89
682,3,0,1.5,1,1.38
683,4,0,2.0,0,1.67
684,5,0,2.5,0,2.22
685,5,0,2.5,1,2.78
686,6,0,3.0,1,3.44
687,6,0,3.0,0,4.11
688,7,0,3.5,1,4.89
689,7,0,3.5,0,5.67
690,7,0,3.5,1,6.44
691,7,0,3.5,0,8.12
692,7,0,3.5,1,8.0
693,7,0,3.5,0,9.88
694,7,0,3.5,1,9.56
695,7,0,3.5,1,11.62
696,7,0,3.5,0,11.11
697,7,0,3.5,1,13.38
698,7,0,3.5,0,12.67
699,7,0,3.5,1,15.12
700,7,0,3.5,0,14.22
701,7,0,3.5,1,16.88
702,7,0,3.5,0,15.78
703,7,0,3.5,1,18.62
704,7,0,3.5,0,17.33
705,7,0,3.5,1,18.11
706,7,0,3.5,0,18.89
707,7,0,3.5,0,22.12
708,7,0,3.5,1,20.44
709,7,0,3.5,0,23.88
710,7,0,3.5,1,22.0
711,7,0,3.5,0,25.62
712,7,0,3.5,1,23.56
713,7,0,3.5,0,27.38
714,7,0,3.5,1,25.11
715,7,0,3.5,0,29.12
716,7,0,3.5,1,26.67
717,7,0,3.5,1,30.88
718,7,0,3.5,0,28.22
719,7,0,3.5,1,26.1
720,7,0,3.5,0,26.8
721,6,0,3.0,0,23.1
722,5,1,2.0,1,19.5
723,4,1,1.5,0,14.27
724,3,2,0.5,0,11.0
725,2,3,0.5,0,8.5
726,1,2,0.5,0,4.7
727,0,4,2.0,0,1.33
728,0,4,2.0,0,1.78
729,0,5,2.5,1,2.62
730,0,5,2.5,0,3.25
731,0,5,2.5,0,4.43
732,0,5,2.5,1,4.5
733,0,5,2.5,1,5.86
734,0,5,2.5,0,6.57
735,0,5,2.5,1,6.38
736,0,5,2.5,0,8.0
737,0,5,2.5,1,8.71
738,0,5,2.5,0,9.43
739,0,5,2.5,1,10.14
740,0,5,2.5,0,10.86
741,0,5,2.5,1,11.57
742,0,5,2.5,0,12.29
743,0,5,2.5,1,13.0
744,0,5,2.5,1,13.71
745,0,5,2.5,0,14.43
746,0,5,2.5,0,15.14
747,0,5,2.5,1,15.86
748,0,5,2.5,1,16.57
749,0,5,2.5,0,17.29
750,0,5,2.5,1,18.0
751,0,5,2.5,0,18.71
752,0,5,2.5,1,19.43
753,0,5,2.5,0,20.14
754,0,5,2.5,1,20.86
755,0,5,2.5,0,21.57
756,0,5,2.5,1,22.29
757,0,5,2.5,0,23.0
758,0,5,2.5,1,23.71
759,0,5,2.5,0,24.43
760,0,5,2.5,0,25.14
761,0,5,2.5,1,25.86
762,0,5,2.5,0,26.57
763,0,5,2.5,1,27.29
764,0,5,2.5,0,28.0
765,0,5,2.5,1,25.12
766,0,4,2.0,1,20.12
767,0,3,1.5,0,15.12
768,0,2,1.0,1,9.11
769,1,1,0.0,0,5.25
770,1,0,0.5,0,0.22
771,2,0,1.0,0,0.5
772,2,0,1.0,0,0.75
773,3,0,1.5,1,0.9
774,3,0,1.5,1,1.33
775,4,0,2.0,0,1.78
776,5,0,2.5,1,2.33
777,5,0,2.5,0,2.89
778,6,0,3.0,1,3.56
779,6,0,3.0,0,4.11
780,7,0,3.5,1,4.89
781,7,0,3.5,0,5.67
782,7,0,3.5,1,6.44
783,7,0,3.5,0,7.22
784,7,0,3.5,1,8.0
785,7,0,3.5,0,8.78
786,7,0,3.5,1,9.56
787,7,0,3.5,0,11.62
788,7,0,3.5,1,11.11
789,7,0,3.5,0,13.38
790,7,0,3.5,1,12.67
791,7,0,3.5,0,15.12
792,7,0,3.5,1,14.22
793,7,0,3.5,0,16.88
794,7,0,3.5,1,15.78
795,7,0,3.5,0,18.62
796,7,0,3.5,1,17.33
797,7,0,3.5,0,20.38
798,7,0,3.5,1,18.89
799,7,0,3.5,1,22.12
800,7,0,3.5,0,20.44
801,7,0,3.5,1,23.88
802,7,0,3.5,0,22.0
803,7,0,3.5,1,25.62
804,7,0,3.5,0,23.56
805,7,0,3.5,1,24.33
806,7,0,3.5,0,25.11
807,7,0,3.5,0,29.12
808,7,0,3.5,1,26.67
809,7,0,3.5,0,27.44
810,7,0,3.5,1,25.4
811,6,0,3.0,0,24.22
812,5,1,2.0,1,18.3
813,4,1,1.5,0,14.8
814,3,1,1.0,0,11.3
815,2,2,0.0,0,7.8
816,1,2,0.5,0,4.4
817,0,3,1.5,0,1.11
818,0,4,2.0,0,1.56
819,0,5,2.5,1,2.38
820,0,5,2.5,0,3.0
821,0,5,2.5,1,3.62
822,0,5,2.5,0,4.25
823,0,5,2.5,1,5.57
824,0,5,2.5,0,5.5
825,0,5,2.5,1,7.0
826,0,5,2.5,1,7.71
827,0,5,2.5,0,8.43
828,0,5,2.5,1,9.14
829,0,5,2.5,0,9.86
830,0,5,2.5,1,9.25
831,0,5,2.5,0,11.29
832,0,5,2.5,1,10.5
833,0,5,2.5,0,12.71
834,0,5,2.5,1,11.75
835,0,5,2.5,0,14.14
836,0,5,2.5,0,14.86
837,0,5,2.5,1,15.57
838,0,5,2.5,0,16.29
839,0,5,2.5,1,17.0
840,0,5,2.5,0,17.71
841,0,5,2.5,1,18.43
842,0,5,2.5,1,19.14
843,0,5,2.5,0,19.86
844,0,5,2.5,1,20.57
845,0,5,2.5,0,21.29
846,0,5,2.5,1,22.0
847,0,5,2.5,0,22.71
848,0,5,2.5,1,23.43
849,0,5,2.5,1,24.14
850,0,5,2.5,0,24.86
851,0,5,2.5,0,25.57
852,0,5,2.5,1,26.29
853,0,5,2.5,1,27.0
854,0,5,2.5,0,24.25
855,0,5,2.5,0,22.11
856,0,4,2.0,1,19.88
857,1,3,1.0,1,13.44
858,1,2,0.5,0,9.22
859,2,1,0.5,0,5.0
860,2,0,1.0,0,0.67
861,3,0,1.5,0,1.12
862,3,0,1.5,1,1.5
863,3,0,1.5,0,1.5
