step,simulation_time,action_duration,we_waiting_time,ns_waiting_time,total_waiting_time,we_green_duration,ns_green_duration,we_queue_length,ns_queue_length,total_queue_length,throughput_completed,throughput_rate,normalized_W_q,normalized_Q_q,normalized_T_q,starvation_penalty,total_reward
90,3596.0,46,0.00,1.00,1.00,30,10,0,1,1,4,0.0870,0.9969,0.8889,0.0870,0.0,0.7023
91,3642.0,46,0.00,2.00,2.00,30,10,0,1,1,5,0.1087,0.9939,0.8889,0.1087,0.0,0.7073
92,3688.0,46,0.00,0.00,0.00,30,10,0,0,0,4,0.0870,1.0000,1.0000,0.0870,0.0,0.7261
93,3734.0,46,0.00,0.00,0.00,30,10,0,0,0,4,0.0870,1.0000,1.0000,0.0870,0.0,0.7261
94,3780.0,46,0.00,2.00,2.00,30,10,0,1,1,6,0.1304,0.9939,0.8889,0.1304,0.0,0.7139
95,3826.0,46,0.00,0.00,0.00,30,10,0,0,0,4,0.0870,1.0000,1.0000,0.0870,0.0,0.7261
96,3872.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
97,3918.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
98,3964.0,46,0.00,0.00,0.00,30,10,0,0,0,4,0.0870,1.0000,1.0000,0.0870,0.0,0.7261
99,4010.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
100,4056.0,46,0.00,0.00,0.00,30,10,0,0,0,4,0.0870,1.0000,1.0000,0.0870,0.0,0.7261
101,4102.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
102,4148.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
103,4194.0,46,0.00,0.00,0.00,30,10,0,0,0,5,0.1087,1.0000,1.0000,0.1087,0.0,0.7326
104,4240.0,46,0.00,0.00,0.00,30,10,0,0,0,4,0.0870,1.0000,1.0000,0.0870,0.0,0.7261
