Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South
375,0,5,2.5,1,0,0,0.0,28.8
376,0,4,2.0,0,0,1,0.0,29.0
377,0,3,1.5,1,0,0,0.0,22.0
378,1,2,0.5,0,0,1,0.2,14.75
379,1,1,0.0,1,0,0,0.33,9.67
380,1,0,0.5,0,0,0,0.5,0.0
381,2,0,1.0,0,0,0,0.83,0.0
382,3,0,1.5,1,0,0,1.14,0.0
383,3,0,1.5,0,0,1,1.57,0.0
384,4,0,2.0,0,1,0,2.14,0.0
385,4,0,2.0,0,0,1,2.71,0.0
386,5,0,2.5,0,1,1,3.43,0.0
387,6,0,3.0,0,0,0,4.29,0.0
388,6,0,3.0,0,1,1,5.14,0.0
389,7,0,3.5,0,0,0,6.14,0.0
390,7,0,3.5,0,1,1,7.14,0.0
391,7,0,3.5,0,0,0,8.14,0.0
392,7,0,3.5,0,1,1,9.14,0.0
393,7,0,3.5,0,0,0,10.14,0.0
394,7,0,3.5,0,1,1,11.14,0.0
395,7,0,3.5,0,0,0,12.14,0.0
396,7,0,3.5,0,1,1,13.14,0.0
397,7,0,3.5,0,0,1,14.14,0.0
398,7,0,3.5,0,1,0,15.14,0.0
399,7,0,3.5,0,0,1,16.14,0.0
400,7,0,3.5,0,1,0,17.14,0.0
401,7,0,3.5,0,0,0,18.14,0.0
402,7,0,3.5,0,1,1,19.14,0.0
403,7,0,3.5,0,0,1,20.14,0.0
404,7,0,3.5,0,1,0,21.14,0.0
405,7,0,3.5,0,0,0,22.14,0.0
406,7,0,3.5,0,1,1,23.14,0.0
407,7,0,3.5,0,1,1,24.14,0.0
408,7,0,3.5,0,0,0,25.14,0.0
409,6,1,2.5,0,1,1,25.17,0.25
410,5,2,1.5,0,0,0,21.17,0.75
411,4,2,1.0,0,1,0,17.0,1.0
412,3,2,0.5,0,0,0,15.4,1.4
413,2,3,0.5,0,0,0,10.4,2.0
414,1,4,1.5,0,0,0,5.2,2.8
415,0,4,2.0,0,0,0,0.0,3.6
416,0,5,2.5,0,0,0,0.0,4.6
417,0,5,2.5,0,0,1,0.0,5.6
418,0,5,2.5,0,0,0,0.0,6.6
419,0,5,2.5,1,0,1,0.0,7.6
420,0,5,2.5,0,0,0,0.0,8.6
421,0,5,2.5,0,0,1,0.0,9.6
422,0,5,2.5,1,0,1,0.0,10.6
423,0,5,2.5,0,0,0,0.0,11.6
424,0,5,2.5,1,0,1,0.0,12.6
425,0,5,2.5,0,0,0,0.0,13.6
426,0,5,2.5,1,0,1,0.0,14.6
427,0,5,2.5,0,0,0,0.0,15.6
428,0,5,2.5,1,0,1,0.0,16.6
429,0,5,2.5,0,0,0,0.0,17.6
430,0,5,2.5,1,0,1,0.0,18.6
431,0,5,2.5,0,0,1,0.0,19.6
432,0,5,2.5,1,0,0,0.0,20.6
433,0,5,2.5,0,0,0,0.0,21.6
434,0,5,2.5,1,0,1,0.0,22.6
435,0,5,2.5,0,0,1,0.0,23.6
436,0,5,2.5,1,0,0,0.0,24.6
437,0,5,2.5,0,0,1,0.0,25.6
438,0,5,2.5,1,0,0,0.0,26.6
439,0,5,2.5,0,0,0,0.0,27.6
440,0,5,2.5,1,0,0,0.0,28.6
441,0,5,2.5,1,0,1,0.0,29.6
442,0,4,2.0,0,0,0,0.0,29.75
443,1,3,1.0,1,0,1,0.2,22.25
444,1,2,0.5,0,0,1,0.4,15.0
445,1,1,0.0,1,0,0,0.5,10.0
446,2,0,1.0,0,0,0,0.83,0.0
447,3,0,1.5,0,0,0,1.33,0.0
448,3,0,1.5,1,0,1,1.57,0.0
449,4,0,2.0,0,0,0,2.14,0.0
450,5,0,2.5,0,1,1,2.86,0.0
451,5,0,2.5,0,0,0,3.57,0.0
452,6,0,3.0,0,1,0,4.43,0.0
453,6,0,3.0,0,0,1,5.29,0.0
454,7,0,3.5,0,1,1,6.29,0.0
455,7,0,3.5,0,0,0,7.29,0.0
456,7,0,3.5,0,1,1,8.29,0.0
457,7,0,3.5,0,0,0,9.29,0.0
458,7,0,3.5,0,1,1,10.29,0.0
459,7,0,3.5,0,0,1,11.29,0.0
460,7,0,3.5,0,1,0,12.29,0.0
461,7,0,3.5,0,0,0,13.29,0.0
462,7,0,3.5,0,1,1,14.29,0.0
463,7,0,3.5,0,0,0,15.29,0.0
464,7,0,3.5,0,1,1,16.29,0.0
465,7,0,3.5,0,0,0,17.29,0.0
466,7,0,3.5,0,1,1,18.29,0.0
467,7,0,3.5,0,0,0,19.29,0.0
468,7,0,3.5,0,1,1,20.29,0.0
469,7,0,3.5,0,0,0,21.29,0.0
470,7,0,3.5,0,1,1,22.29,0.0
471,7,0,3.5,0,0,1,23.29,0.0
472,7,0,3.5,0,1,0,24.29,0.0
473,7,0,3.5,0,1,1,25.29,0.0
474,7,0,3.5,0,0,0,26.29,0.0
475,6,0,3.0,0,1,1,26.33,0.0
476,5,0,2.5,0,0,0,22.17,0.0
477,4,1,1.5,0,0,0,17.83,0.25
478,3,2,0.5,0,1,0,16.2,0.6
479,2,2,0.0,0,0,0,10.8,1.0
480,1,2,0.5,0,0,0,5.4,1.4
481,0,4,2.0,0,0,0,0.0,2.2
482,0,3,1.5,0,0,0,0.0,2.6
483,0,4,2.0,0,0,1,0.0,3.4
484,0,5,2.5,0,0,0,0.0,4.4
485,0,5,2.5,1,0,1,0.0,5.4
486,0,5,2.5,0,0,0,0.0,6.4
487,0,5,2.5,0,0,1,0.0,7.4
488,0,5,2.5,1,0,0,0.0,8.4
489,0,5,2.5,0,0,1,0.0,9.4
490,0,5,2.5,1,0,1,0.0,10.4
491,0,5,2.5,0,0,0,0.0,11.4
492,0,5,2.5,1,0,1,0.0,12.4
493,0,5,2.5,0,0,0,0.0,13.4
494,0,5,2.5,1,0,1,0.0,14.4
495,0,5,2.5,0,0,0,0.0,15.4
496,0,5,2.5,1,0,1,0.0,16.4
497,0,5,2.5,0,0,0,0.0,17.4
498,0,5,2.5,1,0,1,0.0,18.4
499,0,5,2.5,0,0,0,0.0,19.4
500,0,5,2.5,1,0,1,0.0,20.4
501,0,5,2.5,0,0,0,0.0,21.4
502,0,5,2.5,1,0,1,0.0,22.4
503,0,5,2.5,0,0,0,0.0,23.4
504,0,5,2.5,1,0,1,0.0,24.4
505,0,5,2.5,0,0,1,0.0,25.4
506,0,5,2.5,1,0,0,0.0,26.4
507,0,5,2.5,1,0,0,0.0,27.4
508,0,4,2.0,0,0,1,0.0,27.5
509,0,3,1.5,1,0,1,0.0,20.5
510,1,2,0.5,0,0,0,0.2,13.75
511,2,1,0.5,1,0,0,0.5,9.33
512,3,0,1.5,0,0,0,1.0,0.0
513,3,0,1.5,0,0,0,1.5,0.0
514,3,0,1.5,1,0,0,1.71,0.0
515,3,0,1.5,0,1,1,2.14,0.0
516,4,0,2.0,0,0,1,2.71,0.0
517,5,0,2.5,0,0,0,3.43,0.0
518,6,0,3.0,0,1,0,4.29,0.0
519,6,0,3.0,0,0,1,5.14,0.0
520,7,0,3.5,0,1,1,6.14,0.0
521,7,0,3.5,0,0,0,7.14,0.0
522,7,0,3.5,0,1,1,8.14,0.0
523,7,0,3.5,0,0,0,9.14,0.0
524,7,0,3.5,0,1,1,10.14,0.0
525,7,0,3.5,0,0,1,11.14,0.0
526,7,0,3.5,0,1,0,12.14,0.0
527,7,0,3.5,0,0,1,13.14,0.0
528,7,0,3.5,0,1,0,14.14,0.0
529,7,0,3.5,0,0,1,15.14,0.0
530,7,0,3.5,0,1,0,16.14,0.0
531,7,0,3.5,0,0,1,17.14,0.0
532,7,0,3.5,0,1,0,18.14,0.0
533,7,0,3.5,0,0,1,19.14,0.0
534,7,0,3.5,0,1,0,20.14,0.0
535,7,0,3.5,0,0,1,21.14,0.0
