Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South
345,0,4,2.0,0,0,0,0.0,19.0
346,0,5,2.5,0,0,0,0.0,24.0
347,0,5,2.5,0,0,0,0.0,29.0
348,0,5,2.5,0,0,1,0.0,34.0
349,0,5,2.5,0,0,1,0.0,39.0
350,1,5,2.0,0,0,0,1.0,44.0
351,1,5,2.0,0,0,1,2.0,49.0
352,1,4,1.5,0,0,0,3.0,40.0
353,2,3,0.5,0,0,1,5.0,31.0
354,2,2,0.0,0,0,0,7.0,21.0
355,3,1,1.0,0,0,0,10.0,10.0
356,3,0,1.5,0,0,0,13.0,0.0
357,4,0,2.0,0,0,0,17.0,0.0
358,4,0,2.0,0,0,1,21.0,0.0
359,5,0,2.5,0,0,0,26.0,0.0
360,6,0,3.0,0,0,1,32.0,0.0
361,6,0,3.0,0,0,0,38.0,0.0
362,7,0,3.5,0,0,1,45.0,0.0
363,7,1,3.0,0,0,0,52.0,1.0
364,7,1,3.0,0,0,0,59.0,2.0
365,6,1,2.5,0,0,1,50.0,3.0
366,5,1,2.0,0,0,0,42.0,4.0
367,4,2,1.0,0,0,0,34.0,6.0
368,3,2,0.5,0,0,0,26.0,8.0
369,2,2,0.0,0,0,0,18.0,10.0
370,1,3,1.0,0,0,0,9.0,13.0
371,0,4,2.0,0,0,0,0.0,17.0
372,0,4,2.0,0,0,0,0.0,21.0
373,0,4,2.0,0,0,1,0.0,25.0
374,0,5,2.5,0,0,0,0.0,30.0
375,0,5,2.5,0,0,1,0.0,35.0
376,0,5,2.5,0,0,0,0.0,40.0
377,0,5,2.5,0,0,1,0.0,45.0
378,0,4,2.0,0,0,1,0.0,34.0
379,1,3,1.0,0,0,0,1.0,25.0
380,1,2,0.5,0,0,1,2.0,17.0
381,2,1,0.5,0,0,0,4.0,8.0
382,2,0,1.0,0,0,0,6.0,0.0
383,3,0,1.5,0,0,0,9.0,0.0
384,3,0,1.5,0,0,1,12.0,0.0
385,4,0,2.0,0,0,0,16.0,0.0
386,4,0,2.0,0,0,1,20.0,0.0
387,5,0,2.5,0,0,0,25.0,0.0
388,6,0,3.0,0,0,1,31.0,0.0
389,7,0,3.5,0,0,0,38.0,0.0
390,7,0,3.5,0,0,1,45.0,0.0
391,6,1,2.5,0,0,0,39.0,1.0
392,5,2,1.5,0,0,0,33.0,3.0
393,4,2,1.0,0,0,0,27.0,5.0
394,3,3,0.0,0,0,0,21.0,8.0
395,2,4,1.0,0,0,0,15.0,12.0
396,1,4,1.5,0,0,0,8.0,16.0
397,0,4,2.0,0,0,0,0.0,20.0
398,0,5,2.5,0,0,1,0.0,25.0
399,0,5,2.5,0,0,0,0.0,30.0
400,0,5,2.5,0,0,1,0.0,35.0
401,0,5,2.5,0,0,0,0.0,40.0
402,0,5,2.5,0,0,1,0.0,45.0
403,0,5,2.5,0,0,0,0.0,50.0
404,0,4,2.0,0,0,1,0.0,41.0
405,1,3,1.0,0,0,0,1.0,31.0
406,1,2,0.5,0,0,1,2.0,21.0
407,2,1,0.5,0,0,0,4.0,10.0
408,2,0,1.0,0,0,0,6.0,0.0
409,3,0,1.5,0,0,0,9.0,0.0
410,4,0,2.0,0,0,1,13.0,0.0
411,4,0,2.0,0,0,0,17.0,0.0
412,5,0,2.5,0,0,1,22.0,0.0
413,5,0,2.5,0,0,0,27.0,0.0
414,6,0,3.0,0,0,1,33.0,0.0
415,7,0,3.5,0,0,0,40.0,0.0
416,7,0,3.5,0,0,1,47.0,0.0
417,6,0,3.0,0,0,0,41.0,0.0
418,5,1,2.0,0,0,1,35.0,1.0
419,4,1,1.5,0,0,0,29.0,2.0
420,3,1,1.0,0,0,0,22.0,3.0
421,2,2,0.0,0,0,0,15.0,5.0
422,1,3,1.0,0,0,0,8.0,8.0
423,0,4,2.0,0,0,0,0.0,12.0
424,0,4,2.0,0,0,0,0.0,16.0
425,0,5,2.5,0,0,1,0.0,21.0
426,0,5,2.5,0,0,0,0.0,26.0
427,0,5,2.5,0,0,1,0.0,31.0
428,0,5,2.5,0,0,0,0.0,36.0
429,0,5,2.5,0,0,1,0.0,41.0
430,1,4,1.5,0,0,1,1.0,33.0
431,2,3,0.5,0,0,0,3.0,26.0
432,1,2,0.5,0,0,0,3.0,18.0
433,2,1,0.5,0,0,0,5.0,9.0
434,3,0,1.5,0,0,0,8.0,0.0
435,3,0,1.5,0,0,0,11.0,0.0
436,4,0,2.0,0,0,1,15.0,0.0
437,4,0,2.0,0,0,0,19.0,0.0
438,5,0,2.5,0,0,1,24.0,0.0
439,6,0,3.0,0,0,0,30.0,0.0
440,7,0,3.5,0,0,1,37.0,0.0
441,7,0,3.5,0,0,0,44.0,0.0
442,7,0,3.5,0,0,1,51.0,0.0
443,6,0,3.0,0,0,0,44.0,0.0
444,5,0,2.5,0,0,1,38.0,0.0
445,4,1,1.5,0,0,0,31.0,1.0
446,3,1,1.0,0,0,0,24.0,2.0
447,2,2,0.0,0,0,0,17.0,4.0
448,1,2,0.5,0,0,0,9.0,6.0
449,0,3,1.5,0,0,0,0.0,9.0
450,0,4,2.0,0,0,0,0.0,13.0
451,0,5,2.5,0,0,1,0.0,18.0
452,0,4,2.0,0,0,0,0.0,21.0
453,0,5,2.5,0,0,1,0.0,26.0
454,1,5,2.0,0,0,0,1.0,31.0
455,1,5,2.0,0,0,1,2.0,36.0
456,1,4,1.5,0,0,0,3.0,29.0
457,2,3,0.5,0,0,1,5.0,22.0
458,2,2,0.0,0,0,0,7.0,15.0
459,3,1,1.0,0,0,0,10.0,7.0
460,3,0,1.5,0,0,0,13.0,0.0
461,4,0,2.0,0,0,0,17.0,0.0
462,5,0,2.5,0,0,0,22.0,0.0
463,5,0,2.5,0,0,1,27.0,0.0
464,6,0,3.0,0,0,1,33.0,0.0
465,7,0,3.5,0,0,0,40.0,0.0
466,7,0,3.5,0,0,1,47.0,0.0
467,7,0,3.5,0,0,0,54.0,0.0
468,7,0,3.5,0,0,1,61.0,0.0
469,6,1,2.5,0,0,0,52.0,1.0
470,5,1,2.0,0,0,0,44.0,2.0
471,4,2,1.0,0,0,0,36.0,4.0
472,3,2,0.5,0,0,0,28.0,6.0
473,2,2,0.0,0,0,0,19.0,8.0
474,1,3,1.0,0,0,0,10.0,11.0
475,0,4,2.0,0,0,0,0.0,15.0
476,0,4,2.0,0,0,0,0.0,19.0
477,0,5,2.5,0,0,1,0.0,24.0
478,0,5,2.5,0,0,0,0.0,29.0
479,0,5,2.5,0,0,1,0.0,34.0
480,0,5,2.5,0,0,0,0.0,39.0
481,0,5,2.5,0,0,1,0.0,44.0
482,0,4,2.0,0,0,1,0.0,35.0
483,1,3,1.0,0,0,0,1.0,26.0
484,1,2,0.5,0,0,1,2.0,18.0
485,2,1,0.5,0,0,0,4.0,9.0
486,3,0,1.5,0,0,0,7.0,0.0
487,3,0,1.5,0,0,0,10.0,0.0
488,3,0,1.5,0,0,1,13.0,0.0
489,4,0,2.0,0,0,0,17.0,0.0
490,4,0,2.0,0,0,1,21.0,0.0
491,5,0,2.5,0,0,0,26.0,0.0
492,6,0,3.0,0,0,1,32.0,0.0
493,7,1,3.0,0,0,0,39.0,1.0
494,7,1,3.0,0,0,1,46.0,2.0
495,6,1,2.5,0,0,0,40.0,3.0
496,5,2,1.5,0,0,0,34.0,5.0
497,4,2,1.0,0,0,0,27.0,7.0
498,3,3,0.0,0,0,0,21.0,10.0
499,2,4,1.0,0,0,0,15.0,14.0
500,1,4,1.5,0,0,0,8.0,18.0
501,0,5,2.5,0,0,0,0.0,23.0
502,0,5,2.5,0,0,1,0.0,28.0
503,0,5,2.5,0,0,0,0.0,33.0
504,0,5,2.5,0,0,1,0.0,38.0
505,0,5,2.5,0,0,0,0.0,43.0
506,0,5,2.5,0,0,1,0.0,48.0
507,0,5,2.5,0,0,0,0.0,53.0
508,0,4,2.0,0,0,1,0.0,42.0
509,0,3,1.5,0,0,0,0.0,32.0
510,1,2,0.5,0,0,1,1.0,22.0
511,2,1,0.5,0,0,0,3.0,11.0
512,3,0,1.5,0,0,0,6.0,0.0
513,2,0,1.0,0,0,0,7.0,0.0
514,3,0,1.5,0,0,1,10.0,0.0
515,3,0,1.5,0,0,0,13.0,0.0
516,4,0,2.0,0,0,1,17.0,0.0
517,5,0,2.5,0,0,0,22.0,0.0
518,6,0,3.0,0,0,0,28.0,0.0
519,7,1,3.0,0,0,1,35.0,1.0
520,7,1,3.0,0,0,0,42.0,2.0
521,6,1,2.5,0,0,1,37.0,3.0
522,5,1,2.0,0,0,0,31.0,4.0
523,4,1,1.5,0,0,0,26.0,5.0
524,3,2,0.5,0,0,0,21.0,7.0
525,2,3,0.5,0,0,0,15.0,10.0
526,1,4,1.5,0,0,0,8.0,14.0
527,0,5,2.5,0,0,0,0.0,19.0
528,0,5,2.5,0,0,1,0.0,24.0
529,0,5,2.5,0,0,0,0.0,29.0
530,0,5,2.5,0,0,0,0.0,34.0
531,0,5,2.5,0,0,1,0.0,39.0
532,0,5,2.5,0,0,1,0.0,44.0
533,0,5,2.5,0,0,0,0.0,49.0
534,0,4,2.0,0,0,1,0.0,38.0
535,0,3,1.5,0,0,0,0.0,30.0
536,1,2,0.5,0,0,1,1.0,21.0
537,1,1,0.0,0,0,0,2.0,11.0
538,1,0,0.5,0,0,0,3.0,0.0
539,2,0,1.0,0,0,0,5.0,0.0
540,3,0,1.5,0,0,1,8.0,0.0
541,4,0,2.0,0,0,0,12.0,0.0
542,4,0,2.0,0,0,1,16.0,0.0
543,5,0,2.5,0,0,0,21.0,0.0
544,6,0,3.0,0,0,1,27.0,0.0
545,5,0,2.5,0,0,0,31.0,0.0
546,6,0,3.0,0,0,1,37.0,0.0
547,6,1,2.5,0,0,0,32.0,1.0
548,5,1,2.0,0,0,0,28.0,2.0
549,4,2,1.0,0,0,1,23.0,4.0
550,3,2,0.5,0,0,0,17.0,6.0
551,2,2,0.0,0,0,0,11.0,8.0
552,1,3,1.0,0,0,0,6.0,11.0
553,0,3,1.5,0,0,0,0.0,14.0
554,0,4,2.0,0,0,0,0.0,18.0
555,0,5,2.5,0,0,1,0.0,23.0
556,0,5,2.5,0,0,0,0.0,28.0
557,0,5,2.5,0,0,1,0.0,33.0
558,0,5,2.5,0,0,0,0.0,38.0
559,0,5,2.5,0,0,1,0.0,43.0
560,0,4,2.0,0,0,1,0.0,34.0
561,0,3,1.5,0,0,0,0.0,25.0
562,1,2,0.5,0,0,1,1.0,17.0
