Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South
215,0,5,2.5,1,0,1,0.0,20.8
216,0,5,2.5,0,0,1,0.0,21.8
217,0,5,2.5,1,0,0,0.0,22.8
218,0,5,2.5,0,0,0,0.0,23.8
219,0,5,2.5,1,0,1,0.0,24.8
220,0,5,2.5,0,0,0,0.0,25.8
221,0,5,2.5,1,0,1,0.0,26.8
222,0,5,2.5,0,0,0,0.0,27.8
223,0,5,2.5,1,0,1,0.0,28.8
224,0,5,2.5,0,0,1,0.0,29.8
225,0,5,2.5,1,0,0,0.0,30.8
226,0,5,2.5,0,0,1,0.0,31.8
227,0,5,2.5,1,0,0,0.0,32.8
228,0,5,2.5,0,0,1,0.0,33.8
229,0,5,2.5,1,0,0,0.0,34.8
230,0,5,2.5,0,0,1,0.0,35.8
231,0,5,2.5,1,0,0,0.0,36.8
232,0,5,2.5,0,0,1,0.0,37.8
233,0,5,2.5,1,0,0,0.0,38.8
234,0,5,2.5,0,0,1,0.0,39.8
235,0,5,2.5,1,0,0,0.0,40.8
236,0,5,2.5,0,0,0,0.0,41.8
237,0,5,2.5,1,0,1,0.0,42.8
238,0,4,2.0,1,0,1,0.0,43.0
239,0,3,1.5,0,0,0,0.0,32.5
240,1,2,0.5,1,0,1,0.2,21.75
241,1,1,0.0,0,0,0,0.4,14.67
242,1,0,0.5,1,0,0,0.5,0.0
243,1,0,0.5,0,0,0,0.67,0.0
244,2,0,1.0,0,0,0,1.0,0.0
245,4,0,2.0,1,1,1,1.43,0.0
246,4,0,2.0,0,0,1,2.0,0.0
247,5,0,2.5,0,0,0,2.71,0.0
248,5,0,2.5,0,1,1,3.43,0.0
249,6,0,3.0,0,0,0,4.29,0.0
250,6,0,3.0,0,1,1,5.14,0.0
251,7,0,3.5,0,0,0,6.14,0.0
252,7,0,3.5,0,1,1,7.14,0.0
253,7,0,3.5,0,0,0,8.14,0.0
254,7,0,3.5,0,1,1,9.14,0.0
255,7,0,3.5,0,0,1,10.14,0.0
256,7,0,3.5,0,1,0,11.14,0.0
257,7,0,3.5,0,0,1,12.14,0.0
258,7,0,3.5,0,1,0,13.14,0.0
259,7,0,3.5,0,0,1,14.14,0.0
260,7,0,3.5,0,1,0,15.14,0.0
261,7,0,3.5,0,0,1,16.14,0.0
262,7,0,3.5,0,1,0,17.14,0.0
263,7,0,3.5,0,0,1,18.14,0.0
264,7,0,3.5,0,1,0,19.14,0.0
265,7,0,3.5,0,0,1,20.14,0.0
266,7,0,3.5,0,1,0,21.14,0.0
267,7,0,3.5,0,0,1,22.14,0.0
268,7,0,3.5,0,1,0,23.14,0.0
269,7,0,3.5,0,0,0,24.14,0.0
270,7,0,3.5,0,1,1,25.14,0.0
271,7,0,3.5,0,0,1,26.14,0.0
272,7,0,3.5,0,1,0,27.14,0.0
273,7,0,3.5,0,0,1,28.14,0.0
274,7,0,3.5,0,1,0,29.14,0.0
275,7,0,3.5,0,0,1,30.14,0.0
276,7,0,3.5,0,1,0,31.14,0.0
277,7,0,3.5,0,0,1,32.14,0.0
278,7,0,3.5,0,1,0,33.14,0.0
279,7,0,3.5,0,0,1,34.14,0.0
280,7,0,3.5,0,1,0,35.14,0.0
281,7,0,3.5,0,0,1,36.14,0.0
282,7,0,3.5,0,1,0,37.14,0.0
283,7,0,3.5,0,0,1,38.14,0.0
284,7,0,3.5,0,1,0,39.14,0.0
285,7,0,3.5,0,0,1,40.14,0.0
286,6,0,3.0,0,1,0,40.17,0.0
287,5,0,2.5,0,0,1,33.83,0.0
288,4,1,1.5,0,1,0,27.33,0.25
289,3,1,1.0,0,0,0,24.6,0.5
290,2,2,0.0,0,0,0,16.4,1.0
291,1,2,0.5,0,1,0,10.25,1.2
292,0,3,1.5,0,0,0,0.0,1.8
293,0,3,1.5,0,0,0,0.0,2.4
294,0,4,2.0,0,0,1,0.0,3.2
295,0,4,2.0,0,0,1,0.0,4.0
296,0,5,2.5,1,0,0,0.0,5.0
297,0,5,2.5,0,0,1,0.0,6.0
298,0,5,2.5,1,0,0,0.0,7.0
299,0,5,2.5,0,0,0,0.0,8.0
300,0,5,2.5,1,0,1,0.0,9.0
301,0,5,2.5,0,0,0,0.0,10.0
302,0,5,2.5,1,0,1,0.0,11.0
303,0,5,2.5,0,0,0,0.0,12.0
304,0,5,2.5,0,0,1,0.0,13.0
305,0,5,2.5,1,0,1,0.0,14.0
306,0,5,2.5,0,0,0,0.0,15.0
307,0,5,2.5,1,0,1,0.0,16.0
308,0,5,2.5,0,0,0,0.0,17.0
309,0,5,2.5,1,0,1,0.0,18.0
310,0,5,2.5,0,0,1,0.0,19.0
311,0,5,2.5,1,0,0,0.0,20.0
312,0,5,2.5,0,0,1,0.0,21.0
313,0,5,2.5,1,0,0,0.0,22.0
314,0,5,2.5,0,0,0,0.0,23.0
315,0,5,2.5,1,0,1,0.0,24.0
316,0,5,2.5,0,0,0,0.0,25.0
317,0,5,2.5,1,0,1,0.0,26.0
318,0,5,2.5,0,0,0,0.0,27.0
319,0,5,2.5,1,0,1,0.0,28.0
320,0,5,2.5,0,0,0,0.0,29.0
321,0,5,2.5,1,0,1,0.0,30.0
322,0,5,2.5,0,0,0,0.0,31.0
323,0,5,2.5,1,0,1,0.0,32.0
324,0,5,2.5,0,0,0,0.0,33.0
325,0,5,2.5,1,0,1,0.0,34.0
326,0,5,2.5,0,0,0,0.0,35.0
327,0,5,2.5,1,0,1,0.0,36.0
328,0,5,2.5,0,0,0,0.0,37.0
329,0,5,2.5,1,0,0,0.0,38.0
330,0,5,2.5,0,0,1,0.0,39.0
331,0,5,2.5,1,0,0,0.0,40.0
332,0,5,2.5,0,0,1,0.0,41.0
333,0,5,2.5,1,0,1,0.0,42.0
334,0,4,2.0,1,0,0,0.0,42.0
335,1,3,1.0,0,0,1,0.25,31.5
336,1,2,0.5,1,0,0,0.4,21.0
337,1,1,0.0,0,0,1,0.6,14.0
338,2,0,1.0,1,0,0,0.83,0.0
339,2,0,1.0,0,0,0,1.17,0.0
340,3,0,1.5,0,0,1,1.67,0.0
341,3,0,1.5,1,1,0,1.86,0.0
342,4,0,2.0,0,0,0,2.43,0.0
343,5,0,2.5,0,0,1,3.14,0.0
344,5,0,2.5,0,1,1,3.86,0.0
345,6,0,3.0,0,0,0,4.71,0.0
346,7,0,3.5,0,1,1,5.71,0.0
347,7,0,3.5,0,0,0,6.71,0.0
348,7,0,3.5,0,1,1,7.71,0.0
349,7,0,3.5,0,0,0,8.71,0.0
350,7,0,3.5,0,1,1,9.71,0.0
351,7,0,3.5,0,0,0,10.71,0.0
352,7,0,3.5,0,1,1,11.71,0.0
353,7,0,3.5,0,0,0,12.71,0.0
354,7,0,3.5,0,1,1,13.71,0.0
355,7,0,3.5,0,0,1,14.71,0.0
356,7,0,3.5,0,1,0,15.71,0.0
357,7,0,3.5,0,0,1,16.71,0.0
358,7,0,3.5,0,1,0,17.71,0.0
359,7,0,3.5,0,0,1,18.71,0.0
360,7,0,3.5,0,1,0,19.71,0.0
361,7,0,3.5,0,0,0,20.71,0.0
362,7,0,3.5,0,1,1,21.71,0.0
363,7,0,3.5,0,0,1,22.71,0.0
364,7,0,3.5,0,1,0,23.71,0.0
365,7,0,3.5,0,0,0,24.71,0.0
366,7,0,3.5,0,1,1,25.71,0.0
367,7,0,3.5,0,0,1,26.71,0.0
368,7,0,3.5,0,1,0,27.71,0.0
369,7,0,3.5,0,0,1,28.71,0.0
370,7,0,3.5,0,1,0,29.71,0.0
371,7,0,3.5,0,0,0,30.71,0.0
372,7,0,3.5,0,1,1,31.71,0.0
373,7,0,3.5,0,0,0,32.71,0.0
374,7,0,3.5,0,1,1,33.71,0.0
375,7,0,3.5,0,0,0,34.71,0.0
376,7,0,3.5,0,1,1,35.71,0.0
377,7,0,3.5,0,0,1,36.71,0.0
378,7,0,3.5,0,1,0,37.71,0.0
379,7,0,3.5,0,0,1,38.71,0.0
380,7,0,3.5,0,1,0,39.71,0.0
381,7,0,3.5,0,1,1,40.71,0.0
