episode,decision,simulation_time,state,action,next_state,old_waiting_time,new_waiting_time,old_queue,new_queue,throughput_during_transition,throughput_rate,normalized_wait,normalized_queue,normalized_throughput,wait_contribution,queue_contribution,throughput_contribution,starvation_penalty,reward,q_value_before,q_value_after,epsilon,transition_duration
2,10,716.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,26.57,26.71,7,7,28,0.4242,0.2671,0.35,0.0424,-0.1336,-0.07,0.0127,0.0,-0.1908,-0.1312,-0.1423,0.995,66
2,11,742.0,Medium*Medium*NoStarvation,10,Low*Medium*NoStarvation,26.71,6.29,7,7,9,0.3462,0.0629,0.35,0.0346,-0.0314,-0.07,0.0104,0.0,-0.091,-0.0573,-0.0637,0.995,26
2,12,788.0,Low*Medium*NoStarvation,20,Low*Medium*NoStarvation,6.29,15.29,7,7,20,0.4348,0.1529,0.35,0.0435,-0.0764,-0.07,0.013,0.0,-0.1334,-0.0752,-0.084,0.995,46
2,13,854.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,15.29,27.71,7,7,28,0.4242,0.2771,0.35,0.0424,-0.1386,-0.07,0.0127,0.0,-0.1958,-0.1453,-0.1561,0.995,66
2,14,920.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,27.71,26.57,7,7,28,0.4242,0.2657,0.35,0.0424,-0.1329,-0.07,0.0127,0.0,-0.1901,-0.1423,-0.1528,0.995,66
2,15,986.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,26.57,27.29,7,7,28,0.4242,0.2729,0.35,0.0424,-0.1364,-0.07,0.0127,0.0,-0.1937,-0.1528,-0.1627,0.995,66
2,16,1032.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,27.29,14.57,7,7,15,0.3261,0.1457,0.35,0.0326,-0.0729,-0.07,0.0098,0.0,-0.1331,-0.091,-0.0982,0.995,46
2,17,1078.0,Low*Medium*NoStarvation,20,Low*Medium*NoStarvation,14.57,16.86,7,7,10,0.2174,0.1686,0.35,0.0217,-0.0843,-0.07,0.0065,0.0,-0.1478,-0.084,-0.0934,0.995,46
2,18,1104.0,Low*Medium*NoStarvation,10,Low*Medium*NoStarvation,16.86,9.71,7,7,4,0.1538,0.0971,0.35,0.0154,-0.0486,-0.07,0.0046,0.0,-0.114,-0.0336,-0.0447,0.995,26
2,19,1170.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,9.71,24.71,7,7,15,0.2273,0.2471,0.35,0.0227,-0.1236,-0.07,0.0068,0.0,-0.1868,-0.1561,-0.1649,0.995,66
2,20,1236.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,24.71,26.43,7,7,15,0.2273,0.2643,0.35,0.0227,-0.1321,-0.07,0.0068,0.0,-0.1953,-0.1627,-0.1717,0.995,66
2,21,1332.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,26.43,40.71,7,7,22,0.2292,0.4071,0.35,0.0229,-0.2036,-0.07,0.0069,0.0,-0.2667,-0.089,-0.1125,0.995,96
2,22,1398.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,40.71,25.14,7,7,15,0.2273,0.2514,0.35,0.0227,-0.1257,-0.07,0.0068,0.0,-0.1889,-0.1717,-0.1791,0.995,66
2,23,1444.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,25.14,16.14,7,7,10,0.2174,0.1614,0.35,0.0217,-0.0807,-0.07,0.0065,0.0,-0.1442,-0.0982,-0.1068,0.995,46
2,24,1540.0,Low*Medium*NoStarvation,45,Medium*Medium*NoStarvation,16.14,42.14,7,7,22,0.2292,0.4214,0.35,0.0229,-0.2107,-0.07,0.0069,0.0,-0.2738,-0.1213,-0.1423,0.995,96
2,25,1606.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,42.14,26.43,7,7,15,0.2273,0.2643,0.35,0.0227,-0.1321,-0.07,0.0068,0.0,-0.1953,-0.1791,-0.1865,0.995,66
2,26,1652.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,26.43,15.86,7,7,10,0.2174,0.1586,0.35,0.0217,-0.0793,-0.07,0.0065,0.0,-0.1428,-0.1068,-0.1145,0.995,46
2,27,1718.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,15.86,25.57,7,7,15,0.2273,0.2557,0.35,0.0227,-0.1279,-0.07,0.0068,0.0,-0.191,-0.1649,-0.1733,0.995,66
2,28,1764.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,25.57,16.71,7,7,10,0.2174,0.1671,0.35,0.0217,-0.0836,-0.07,0.0065,0.0,-0.147,-0.1145,-0.1217,0.995,46
2,29,1830.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,16.71,27.14,7,7,15,0.2273,0.2714,0.35,0.0227,-0.1357,-0.07,0.0068,0.0,-0.1989,-0.1733,-0.1816,0.995,66
2,30,1856.0,Medium*Medium*NoStarvation,10,Low*Medium*NoStarvation,27.14,6.29,7,7,4,0.1538,0.0629,0.35,0.0154,-0.0314,-0.07,0.0046,0.0,-0.0968,-0.0637,-0.071,0.995,26
2,31,1922.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,6.29,25.86,7,7,15,0.2273,0.2586,0.35,0.0227,-0.1293,-0.07,0.0068,0.0,-0.1925,-0.1816,-0.189,0.995,66
