episode,timestamp,state,action,we_green,ns_green,we_waiting_time,ns_waiting_time,we_queue,ns_queue,reward
1,3037.0,1_0_0,1,20,10,46.0,0,7,0,-0.29166666666666663
1,3063.0,1_0_0,0,10,10,42.0,0,7,0,-0.2742307692307692
1,3119.0,1_0_0,6,30,20,111.0,0,7,0,-0.6169642857142857
1,3165.0,1_0_0,2,30,10,43.0,0,6,0,-0.26521739130434785
1,3211.0,1_0_0,2,30,10,0,0,0,0,0.003913043478260869
2,36.0,0_0_0,1,20,10,55.0,0.0,7,0,-0.3375
2,62.0,1_0_0,0,10,10,38.0,0.0,7,0,-0.24846153846153846
2,123.0,1_0_0,3,45,10,66.0,0.0,7,0,-0.3877049180327869
2,169.0,1_0_0,2,30,10,39.0,0.0,6,0,-0.24195652173913043
2,240.0,1_0_0,7,45,20,134.0,0.0,7,0,-0.7269014084507042
2,286.0,1_0_0,5,20,20,118.0,0.0,7,0,-0.6469565217391303
2,312.0,1_0_0,0,10,10,45.0,0.0,7,0,-0.2846153846153846
2,338.0,1_0_0,0,10,10,63.0,1.0,7,1,-0.38961538461538464
2,364.0,1_0_0,0,10,10,47.0,2.0,7,1,-0.31461538461538463
2,400.0,1_0_0,4,10,20,115.0,0.0,7,0,-0.6341666666666665
2,426.0,1_0_0,0,10,10,46.0,1.0,7,1,-0.30346153846153845
2,452.0,1_0_0,0,10,10,45.0,1.0,7,1,-0.2996153846153847
2,488.0,1_0_0,4,10,20,130.0,0.0,7,0,-0.7091666666666666
2,534.0,1_0_0,2,30,10,44.0,0.0,7,0,-0.27695652173913043
2,595.0,1_0_0,3,45,10,66.0,0.0,7,0,-0.38721311475409836
2,641.0,1_0_0,2,30,10,38.0,1.0,7,1,-0.26326086956521744
2,697.0,1_0_0,6,30,20,116.0,0.0,7,0,-0.6366071428571428
2,723.0,1_0_0,0,10,10,52.0,0.0,7,0,-0.31846153846153846
2,759.0,1_0_0,1,20,10,50.0,0.0,7,0,-0.3091666666666667
2,820.0,1_0_0,3,45,10,83.0,0.0,7,0,-0.47270491803278686
2,881.0,1_0_0,3,45,10,60.0,0.0,7,0,-0.35721311475409834
2,927.0,1_0_0,2,30,10,45.0,0.0,6,0,-0.27260869565217394
2,953.0,1_0_0,0,10,10,44.0,0.0,7,0,-0.2784615384615384
2,989.0,1_0_0,1,20,10,51.0,0.0,7,0,-0.3125
2,1050.0,1_0_0,3,45,10,61.0,1.0,7,1,-0.37721311475409836
2,1086.0,1_0_0,1,20,10,49.0,0.0,7,0,-0.30333333333333334
2,1147.0,1_0_0,3,45,10,68.0,0.0,7,0,-0.39819672131147543
2,1208.0,1_0_0,3,45,10,64.0,2.0,7,1,-0.39672131147540984
2,1254.0,1_0_0,2,30,10,44.0,0.0,7,0,-0.2776086956521739
2,1300.0,1_0_0,2,30,10,41.0,1.0,7,1,-0.2769565217391305
2,1356.0,1_0_0,6,30,20,115.0,0.0,7,0,-0.632142857142857
2,1392.0,1_0_0,1,20,10,46.0,0.0,6,0,-0.2775
2,1428.0,1_0_0,4,10,20,114.0,0.0,7,0,-0.6275
2,1464.0,1_0_0,4,10,20,114.0,0.0,7,0,-0.6275
2,1500.0,1_0_0,4,10,20,129.0,0.0,7,0,-0.7033333333333333
2,1536.0,1_0_0,1,20,10,37.0,0.0,6,0,-0.23333333333333334
2,1572.0,1_0_0,4,10,20,131.0,0.0,7,0,-0.7141666666666666
2,1618.0,1_0_0,2,30,10,44.0,0.0,7,0,-0.2763043478260869
2,1654.0,1_0_0,1,20,10,40.0,0.0,7,0,-0.2575
